Frans Kafka	The Castle	I dream of a grave, deep and narrow, where we could clasp each other in our arms as with clamps, and I would hide my face in you and you would hide your face in me, and nobody would ever see us any more.
James Joyce	Ulysses	Her antiquity in preceding and surviving succeeding tellurian generations: her nocturnal predominance: her satellitic dependence: her luminary reflection: her constancy under all her phases, rising and setting by her appointed times, waxing and waning: the forced invariability of her aspect: her indeterminate response to inaffirmative interrogation: her potency over effluent and refluent waters: her power to enamour, to mortify, to invest with beauty, to render insane, to incite to and aid delinquency: the tranquil inscrutability of her visage: the terribility of her isolated dominant resplendent propinquity: her omens of tempest and of calm: the stimulation of her light, her motion and her presence: the admonition of her craters, her arid seas, her silence: her splendour, when visible: her attraction, when invisible.
James Joyce	Ulysses	The sea, the snotgreen sea, the scrotumtightening sea.
James Joyce	Ulysses	Stately, plump Buck Mulligan came from the stairhead, bearing a bowl of lather on which a mirror and a razor lay crossed.
James Joyce	Ulysses	Shakespeare is the happy hunting ground of all minds that have lost their balance.
James Joyce	A Portrait of the Artist as a Young Man	Welcome, O life! I go to encounter for the millionth time the reality of experience and to forge in the smithy of my soul the uncreated conscience of my race.
James Joyce	Dubliners	and yet her name was like a summons to all my foolish blood.
James Joyce	A Portrait of the Artist as a Young Man	Her lips touched his brain as they touched his lips, as though they were a vehicle of some vague speech and between them he felt an unknown and timid preasure, darker than the swoon of sin, softer than sound or odor.
James Joyce	Dubliners	One by one they were all becoming shades. Better pass boldly into that other world, in the full glory of some passion, than fade and wither dismally with age.
James Joyce	Dubliners	Mr. Duffy lived a short distance from his body.
James Joyce		I am tomorrow, or some future day, what I establish today. I am today what I established yesterday or some previous day.
James Joyce		Secrets, silent, stony sit in the dark palaces of both our hearts: secrets weary of their tyranny: tyrants willing to be dethroned.
Fyodor Dostoevsky	The Brothers Karamazov	Above all, don't lie to yourself. The man who lies to himself and listens to his own lie comes to a point that he cannot distinguish the truth within him, or around him, and so loses all respect for himself and for others. And having no respect he ceases to love.
Fyodor Dostoevsky	Crime and Punishment	Pain and suffering are always inevitable for a large intelligence and a deep heart. The really great men must, I think, have great sadness on earth.
Fyodor Dostoevsky	Crime and Punishment	To go wrong in one's own way is better than to go right in someone else's.
Fyodor Dostoevsky	The Brothers Karamazov	What is hell? I maintain that it is the suffering of being unable to love.
Fyodor Dostoevsky	Notes from Underground	I say let the world go to hell, but I should always have my tea.
Fyodor Dostoevsky	Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead	Man only likes to count his troubles; he doesn't calculate his happiness.
Fyodor Dostoevsky	White Nights	But how could you live and have no story to tell?
Fyodor Dostoyevsky	The Brothers Karamazov	I love mankind, he said, "but I find to my amazement that the more I love mankind as a whole, the less I love man in particular.
Fyodor Dostoyevsky	Crime and Punishment	It takes something more than intelligence to act intelligently.
Fyodor Dostoyevsky	Crime and Punishment	We sometimes encounter people, even perfect strangers, who begin to interest us at first sight, somehow suddenly, all at once, before a word has been spoken.
Fyodor Dostoyevsky	The Brothers Karamazov	The mystery of human existence lies not in just staying alive, but in finding something to live for.
Fyodor Dostoevsky		The soul is healed by being with children.
Fyodor Dostoyevsky		People speak sometimes about the "bestial" cruelty of man, but that is terribly unjust and offensive to beasts, no animal could ever be so cruel as a man, so artfully, so artistically cruel.
Fyodor Dostoevsky	Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead	Talking nonsense is the sole privilege mankind possesses over the other organisms. It's by talking nonsense that one gets to the truth! I talk nonsense, therefore I'm human
Fyodor Dostoevsky	Crime and Punishment	Taking a new step, uttering a new word, is what people fear most.
Fyodor Dostoevsky	White Nights	I am a dreamer. I know so little of real life that I just can't help re-living such moments as these in my dreams, for such moments are something I have very rarely experienced. I am going to dream about you the whole night, the whole week, the whole year. I feel I know you so well that I couldn't have known you better if we'd been friends for twenty years. You won't fail me, will you? Only two minutes, and you've made me happy forever. Yes, happy. Who knows, perhaps you've reconciled me with myself, resolved all my doubts.When I woke up it seemed to me that some snatch of a tune I had known for a long time, I had heard somewhere before but had forgotten, a melody of great sweetness, was coming back to me now. It seemed to me that it had been trying to emerge from my soul all my life, and only now-If and when you fall in love, may you be happy with her. I don't need to wish her anything, for she'll be happy with you. May your sky always be clear, may your dear smile always be bright and happy, and may you be for ever blessed for that moment of bliss and happiness which you gave to another lonely and grateful heart. Isn't such a moment sufficient for the whole of one's life?
